,시도,시군구,도로명,부여사유
25,부산광역시,금정구,가마실로,부곡동에서 서동을 넘어가는 산 모양이 가마솥과 같아서 유래된 자연마을 이름 반영
26,부산광역시,기장군,가동1길,가동마을 중앙을 지나는 도로의 첫번째 도로
27,부산광역시,남구,8부두로,8부두 주변을 지나가는 길
28,부산광역시,동구,고관로,옛 두모포 왜관이 있었던 곳이라는 지명에서 유래
29,부산광역시,동래구,구만덕로,동래구 관하에서 최대의 도적소굴로 소문난 험한 산길로 동래사람이 구포장을 보러 갈 때 넘어 다녔던 만덕고개 지명에서 유래. 만덕1터널을 통과하는 도로
30,부산광역시,부산진구,가야공원로,가야공원 진입도로
31,부산광역시,북구,가람로,가람은 순 우리말로 강을 뜻하고 있고 낙동강과 연계하여 반영
32,부산광역시,사상구,가야대로,기존 대로명
33,부산광역시,사하구,감내1로,선사시대부터 불리던 옛 지명(감내)에서 유래
34,부산광역시,서구,감천로,도로이용자의 80%이상이 감천동 거주 주민이며 오랜기간 감천로로 통용
35,부산광역시,수영구,감포로,감포천을 복개한 도로에서 유래
36,부산광역시,연제구,거제대로,거제동을 지나는 도로
37,부산광역시,영도구,감지길,물맛이 달고 시원한 못이 있어서 붙여진 이름에서 유래
38,부산광역시,해운대구,APEC로,APEC 개최기념도로
39,대구광역시,달서구,갈밭남로,갈밭로의 남쪽에 위치한 도로
40,대구광역시,달성군,가창동로,"가창로를 기준으로 가창면 동쪽에 위치하며 , 도로명에 방위를 사용하여  도로명 제정"
41,대구광역시,수성구,경안로,지역명칭 반영
42,인천광역시,강화군,가능포로,소루지돈대 옆에 있는 뚝으로 조선 18대 현종5년(1664) 유수 조복양이 막았다고 전해진데서 유래
43,인천광역시,계양구,가현1골목길,옛지명 가현리에서 유래하였으며 골목길임
44,인천광역시,남동구,간석로,행정구역명(간석동)을 이용하여 간석로로 제명
45,인천광역시,미추홀구,경원대로,고려 숙종때 인예태후의 친정고을 소성현을 높여 경원군으로 승격시킨 것에 유래하여 제명
46,인천광역시,부평구,가재울로,"가재가 많은 개울/시내를 의미하며, 가좌동의 어원이 된 말을 인용하여 제명"
47,인천광역시,연수구,갯벌로,송도국제도시에서 맨처음 완공된 갯벌타워(갯벌에서진주를캐낸다)가 위치한 단지의 중심도로
48,인천광역시,옹진군,가을길,갈대가 많이 있어서 붙여진 자연마을이름을 반영하여 도로명 부여
49,광주광역시,광산구,2순환로,광주의 제2순환도로에서 유래
50,대전광역시,대덕구,갑천도시고속도로,도시계획시설명과 지역특성 반영
51,대전광역시,유성구,가정로,행정구역명(가정동)을이용하여가정로로명명
52,울산광역시,울주군,가람지1길,당해지역일원의옛지명
53,세종특별자치시,,가나물길,자연마을명칭(가나물) 반영
54,경기도,가평군,가랫골길,두 갈래로 갈라지는 고을이란 뜻의 옛지명인 갈래골을 인용하여 도로명부여
55,경기도,고양시 덕양구,간절1로,고유지명을 도로명에 적용
56,경기도,고양시 일산동구,감내길,고유지명을 도로명에 적용
57,경기도,고양시 일산서구,가좌1로,법정동 명칭을 도로명에 적용
58,경기도,과천시,가루개로,"가루개(葛峴)라는 옛 이름을  반영함. 가루개는 고개 밑 마을을 뜻하고“갈고개”라고도 하였으며, 갈현이라는 이름은 이 토박이 이름을 바탕으로 함"
59,경기도,광명시,가락골길,가락골이라는 자연 고유마을 이름 반영
60,경기도,광주시,가마을길,마을의 지형이 가마솥 모양으로 생겼다고 하여 붙여진 자연마을이름 반영
61,경기도,구리시,갈매길,마을 주위 산의 모습이 칡과 매화와 같다하여 붙은 옛 지명에서 유래
62,경기도,군포시,건건로,건건동 주거지역을 남북방향으로 가로지르는 주요 도로임에 법정동명을 반영함
63,경기도,김포시,가금로,가금리를 지나는 주 도로라 하여 가금로로 명명
64,경기도,남양주시,가곡로,행정구역명(가곡리)를 이용하여 가곡로로 명명
65,경기도,동두천시,갈마지길,이전부터 불리어온 옛지명을 도로 이름으로 명명
66,경기도,부천시,가로공원로,지역특성을 반영하여 도로명 부여
67,경기도,성남시 분당구,경부고속도로,국토해양부 노선명을 이용하여 명명함
68,경기도,성남시 수정구,가마절로,"조선시대 광주군 세촌면 지역이었으나 1914년 행정구역 개편에 따라 가마절(釜谷) , 기와골 [ 瓦谷 ], 안골 , 응달말 등을 병합하여 복정리 라 칭한데서 유래"
69,경기도,성남시 중원구,갈마치로,옛날부터 칡이 많아서 갈현(葛峴) 이라 하였다는 설과 옛날 선비들이 한양 으로 과거를 보러 갈 때 말에게 물을 먹여 갈증을 풀어주고 떠났다고 해서 갈마치(葛馬治) 또는 갈현(渴峴)에서 유래.
70,경기도,수원시 권선구,갓매산로,고등동에서 세류동지역을 잇는 도로로 예전에 있었던 갓매산의 지명을 반영하여 갓매산로로 도로명부여
71,경기도,수원시 영통구,광교로181번길,"광교로의 시작점에서부터 약1,810m지점에서 왼쪽으로 분기되는 도로"
72,경기도,수원시 장안구,경수대로1007번길,"경수대로의 시작지점에서부터 약 10,070m지점에서 왼쪽으로 분기되는 도로"
73,경기도,수원시 팔달구,갓매산로19번길,갓매산로의 시작지점에서부터 약 190m지점에서 왼쪽으로 분기되는 도로
74,경기도,시흥시,가마길,예전에 가마터가 있던곳임
75,경기도,안산시 단원구,가루개로,도로 주변의 고개를 가루개 고개라고 부르는데서 유래
76,경기도,안산시 상록구,가루개로,도로 주변의 고개를 가루개 고개라고 부르는데서 유래
77,경기도,안성시,가래미길,지역명칭(가래미마을)을 이용하여 가래미길로 명명
78,경기도,안양시 동안구,가구단지길,의왕 가구단지를 관통하는 도로로 가구단지 명칭을 반영
79,경기도,안양시 만안구,강남순환로,강남지역 동서를 연결하므로 ‘강남순환로’로 명명함
80,경기도,양주시,가래비10길,"가래나무가 많아 지어진 이름으로 광적면에서 가장 중심지를 지나므로 부여한 ""가래비길""에서 분기된 노선으로 일련번호를 활용하여 도로명 부여"
81,경기도,양평군,가는골길,지명에 관한 구체적인 유래는 없으나 옛적부터 마을에 구전되어 내려오는 자연마을 이름을 반영.
82,경기도,여주시,가남로,행정구역명(가남읍)을 이용하여 가남로로 명명
83,경기도,연천군,강변길,신서면 도신리 주변에 흐르는 차탄천변 반영
84,경기도,오산시,가수1로,가수동에 위치한 도로로써 일련번호 부여방식 적용
85,경기도,용인시 기흥구,갈곡로,칡이 많아서 붙여진 자연마을이름 반영하여 부여
86,경기도,용인시 수지구,경부고속도로,국토해양부 노선명을 이용하여 명명함
87,경기도,용인시 처인구,가재월로,법정리 가재월리 이용
88,경기도,의왕시,가구단지길,가구단지밀집지역
89,경기도,의정부시,가금로,가능동에서 금오동까지 연결되는 도로로 각 동의 앞글자를 적용하여 도로명으로 부여
90,경기도,이천시,가좌로,마을지명으로 부여
91,경기도,파주시,가나무로,고유지명. 가나무가 많았던 지역으로 붙여진 이름
92,경기도,평택시,2함대길,근처의 지역적 특성(해군2함대)을 반영하여 2함대길로 명명
93,경기도,포천시,가산로,행정구역명(가산면)을 이용하여 부여
94,경기도,하남시,감북로,법정구역명(감북동)을 이용하여 감북로로 명명
95,경기도,화성시,10용사1길,일련번호를 활용하여 도로명 부여
96,강원도,강릉시,가둔지길,바다의모래가파도에밀려와둔지를이루어붙여진자연마을지명을반영
97,강원도,고성군,가마골길,예로부터큰돌이자연적으로파여모양이가마솥처럼생긴모양에서붙여진마을이름반영
98,강원도,동해시,가마골길,가마골의 지명에서 반영
99,강원도,삼척시,가곡천로,지형지물(가곡천)명칭활용
100,강원도,속초시,골말길,중도문리1구의다른이름으로골짜기마을이란뜻으로지역적특성을반영
101,강원도,양구군,간척월명로,행정구역명칭 반영(간척리+월명리)
102,강원도,양양군,감동골로,예부터 감동골이라는 지명으로 불리었으며 이를 활용하여 명명
103,강원도,영월군,가마동길,중선과 수주면 당거리 뒷산에서 흘러내리는 물이 합쳐지는 곳으로 자연마을지명을 활용하여 도로명 부여
104,강원도,원주시,가곡로,행정구역명 반영
105,강원도,인제군,가넷고개길,남면 남전리에서 인제읍 남북리로 넘어가는 고개를 가넷고개라 하는데 고개 이름을 도로명에 반영함.
106,강원도,정선군,5일장길,정선 5일장이 서는 곳임을 반영
107,강원도,철원군,갈말로,갈말읍 행정명 활용
108,강원도,춘천시,가락재로,자연지형 명칭 반영(가락재)
109,강원도,태백시,가리골길,가리골이라는 마을지명 반영
110,강원도,평창군,가내골길,옛지명반영
111,강원도,홍천군,가구동길,옛지명(가구리) 인용
112,강원도,화천군,가둔지길,자연부락명 /둔덕에 있는 마을이라 하여 가둔지라 함.
113,강원도,횡성군,가곡로,행정구역명(가곡)을 이용하여 가곡로로 명명
114,충청북도,괴산군,각연1길,각연사 명칭에서 인용
115,충청북도,단양군,가대1길,행정구역명(가대)을 이용하여 가대1길로 명명
116,충청북도,보은군,가고길,행정구역명(가고)을 이용하여 가고길로 명명
117,충청북도,영동군,가곡1길,행정구역명(가곡)을 반영하여 가곡의첫번째길로 가곡1길로 명명
118,충청북도,옥천군,가풍1길,가풍길의 시작지점에서부터 첫번째로 분기되는 도로
119,충청북도,음성군,가곡로,음성군 감곡면과 충주시 가금면을 연결하는 도로
120,충청북도,제천시,갈골만지길,제천시의 갈골부락과 충주시의 만지골 부락의 지역명칭 사용
121,충청북도,증평군,가장골1길,가장골길에서 분기되는 도로
122,충청북도,진천군,가산1길,법정리명을  사용하여 가산1길로 명명
123,충청북도,청주시 상당구,1순환로1253번길,"1순환로 시작점에서부터 약 12,530m지점에서 왼쪽으로 분기되는 도로"
124,충청북도,청주시 서원구,1순환로1013번길,"1순환로의 시작점에서부터 약 10,130m지점에서 왼쪽으로 분기되는 도로"
125,충청북도,청주시 청원구,1순환로,청주의 외곽을 순환하는 첫 번째 개설된 도로의 의미 반영
126,충청북도,청주시 흥덕구,1순환로386번길,"1순환로의 시작점에서부터 약 3,860m지점에서 오른쪽으로 분기되는 도로"
127,충청북도,충주시,5산단1길,목행 제5일반산업단지 개발
128,충청남도,계룡시,계룡대로,계룡시의 주도로이 계룡대 반영
129,충청남도,공주시,가교새알골길,"해당 자연마을 명칭을 활용 후, 다른 지역과 중복되는 도로 명을 방지하기 위해 행정구역 명칭을 첨가"
130,충청남도,금산군,가덕1길,마을 뒷산에 가등혈의 명당이 있다는 마을인데 덕을 쌓는 마을이라 해서 가덕리 또는 더덕골이라 부름 (자연부락명 반영-가덕리마을)
131,충청남도,논산시,가야공단길,가야곡면 산업단지를 지나는 길로 가야공단길로 명명
132,충청남도,당진시,4.4만세로,4월4일 독립만세운동 명칭을 활용하여 도로명 부여
133,충청남도,보령시,가그말1길,가그말 이란 오포리 동쪽 끝에 있는 큰 마을로 교성리 지장굴과 이웃한다  자연마을명 인용
134,충청남도,부여군,가덕로,법정리명(가덕리)를이용하여가덕로로명명
135,충청남도,서산시,가구전길,지역 지명 활용[가구전]
136,충청남도,서천군,가양길,가양리를 관통하는 도로
137,충청남도,아산시,가내길,가내리에서 궁화리를 연결하는 면도101호 도로구간으로 법정리(가내)명을 이용하여 가내길로 명명
138,충청남도,예산군,가덕1길,행정구역명(가덕리)을 이용하여 가덕1길로 명명
139,충청남도,천안시 동남구,5산단1로,제5일반산업단지조성에 따른 신규 도로명 및 도로구간 부여
140,충청남도,천안시 서북구,1공단1길,지역특성(1공단지역)을 활용하여 부여
141,충청남도,청양군,가경자길,노루목 남쪽마을 금강가에 백인정 있었음
142,충청남도,태안군,가경주길,지역의 고유지명(가경주) 사용
143,충청남도,홍성군,가산1길,법정리(가산)명을이용하고숫자를활용하여가산1길로명명
144,전라북도,고창군,가라1길,무장면 옥산리 가라마을 자연마을 명칭 반영 부여
145,전라북도,군산시,가도1길,군장산단개발이전 가도소재
146,전라북도,김제시,가실1길,"리명칭을 인용하여 연차적

으로 부여"
147,전라북도,남원시,가덕광암길,고유지명을병합하여부여
148,전라북도,무주군,가는들길,가는들이 인근에 위치한 지역적 특성을 반영
149,전라북도,부안군,가다리들길,행정마을명칭(가다리)을 이용하여 가다리들길로 명명
150,전라북도,순창군,가마골로,그릇을 굽는 가마터가 많은 지역 상징
151,전라북도,완주군,가목길,행정구역 행정리명(가목마을)을 이용하여 가목길로 명명
152,전라북도,익산시,가람1길,가람 이병기 선생의 생가가 있는 진사마을의주도로
153,전라북도,임실군,가곡1길,지역 고유명칭인 법정마을을 도로명으로 정함
154,전라북도,장수군,가곡길,행정구역명(가곡리)을 이용하여 가곡길로 명명
155,전라북도,전주시 덕진구,가련산로,가련산 인근지역임을 반영하여 명칭으로 부
156,전라북도,전주시 완산구,간납대1길,이 지역의 대표적인 정자인 간납대의 명칭을 따서 도로명칭으로 부여
157,전라북도,정읍시,2산단1길,정읍2산업단지의 명칭을 도로명으로 활용
158,전라북도,진안군,가림길,"본래 진안군 두미면의 지역으로서 내가 마을을 갈라 놓았으므로 가름내 또는 가림, 가림천이라 하였으며, 이를 활용하여 도로명을 부여함."
159,전라남도,강진군,가우도길,마을명칭 반영
160,전라남도,고흥군,가동뒷길,자연마을 명칭 고수
161,전라남도,곡성군,가곡길,자연마을명부여
162,전라남도,광양시,가길길,옛 지명에서 인용
163,전라남도,구례군,5일시장길,인접에5일시장명칭반영
164,전라남도,나주시,가곡길,자연마을명칭을 반영
165,전라남도,담양군,가곡길,마을 고유지명을 사용하여 부여
166,전라남도,목포시,고하대로,고하도와 연결되는 도로임
167,전라남도,무안군,가시동길,자연마을 명칭 반영
168,전라남도,보성군,가곡길,자연마을 이름 반영
169,전라남도,순천시,가곡1길,자연마을인 가곡마을의 진입노선을 인용하여 순차적으로 도로명 부여
170,전라남도,신안군,가거도길,마을이름
171,전라남도,여수시,가곡길,지역 및 위치예측성 고려
172,전라남도,영광군,가남로,군서면 가사리와 남죽리의 법정리에 글자 조합하여 부여함
173,전라남도,영암군,가마정길,"옛 유명한 관료나 선비, 장군 등이 가마을 타고 가다 산친이 수려하고 공기가 맑아 쉬었다 가는 마을이라 유래"
174,전라남도,완도군,가교101번길,"시점에서 종점까지 20m 간격으로 기초구간을 설정하여 왼쪽은 홀수, 오른쪽은 짝수 기초번호를 이용하여 도로명부여"
175,전라남도,장성군,가인길,지역 마을명 반영
176,전라남도,장흥군,가학1길,행정구역및도로구간의방향성반영
177,전라남도,진도군,가계길,마을명부여
178,전라남도,함평군,가금길,가금마을 이름 반영
179,전라남도,해남군,가곡길,마을명 부여
180,전라남도,화순군,가동길,고유지명(갓굴가동동막굴동촌사기점굴사동)
181,경상북도,경산시,가마실길,마을 뒷산 모양이 가마솥처럼 생겼다는 의미로 부여
182,경상북도,경주시,가곡남길,예로부터 사람이 많이 모여사는 골짜기라하여 붙여진 마을이름 반영
183,경상북도,고령군,가곡1길,꽃이 피는 아름다운 골이라하여 옛 자연마을이름(가곡)을 이용 가곡1길로 명명함
184,경상북도,구미시,1공단로,"전자기기의 수출과 전자공업체의 전문화,계열화를 목적으로 첫번째로 조성된 내륙공업단지를 반영"
185,경상북도,군위군,가암1길,법정리명으로 부여
186,경상북도,김천시,가례1길,마을모양이 가래같이 길게 생겼다고 하여 붙여진 자연부락명칭(가례)을 반영하여 도로명부여
187,경상북도,문경시,가곡길,행정지명 반영
188,경상북도,봉화군,1농공단지길,1992년 12월 30일에 준공된 봉화1농공단지를 지나는 도로임을 반영하여 1농공단지길로 명명
189,경상북도,상주시,가곡1길,행정구역명(가곡)을 이용하여 가곡1길로 명명
190,경상북도,성주군,가산이천길,기점(가암리)과 종점(용산리)의 행정구역 앞 글자와 인접하천 명칭을 활용하여 도로명 부여
191,경상북도,안동시,가곡로,경북도청이전신도시 개발 사업
192,경상북도,영덕군,318만세1길,1919년3월18일 영해장터를 중심으로 대규모 독립만세운동이 일어난 지역으로 선열들의 독립정신을 기리기 위하여 명명한 318만세길에서 분기되는 도로
193,경상북도,영양군,가구1길,아름다운 마을이란 뜻으로 가구라 함.
194,경상북도,영주시,가흥공단로,가흥농공단지의 명칭을 이용하여 가흥공단로로 명명
195,경상북도,영천시,가늠골길,자연부락명(가늠골)을 이용하여 명명
196,경상북도,예천군,가거리길,가거리라는 자연부락명칭 활용한 도로명
197,경상북도,울릉군,간령길,지명사용
198,경상북도,울진군,가는골길,위치예측성을 높이고 보편성유지를 위하여 현재 사용하고 있는 지명을 활용하여 도로명 부여
199,경상북도,의성군,가도길,하천을 농토가 적은 곳으로 파내어 놓은 곳에 아름다운 도로가 생겨 가도라 부르는 자연부락명 반영
200,경상북도,청도군,가곡1길,예로부터 가죽나무가 많아 불렸다는 옛지명 가곡 사용 가곡길에서 첫 번째 분기된 길
201,경상북도,청송군,가람실길,"옛지명 인용 - 감곡(가람실, 기곡, 새터 동북쪽에 있는 마을. 절(가람)이었음)"
202,경상북도,칠곡군,2번도로길,2번도로로 불리던 옛 지명에서 유래
203,경상북도,포항시 남구,건포산업로,"행정구역(건포읍,포항시)및 특성반영(산업도로)"
204,경상북도,포항시 북구,가사길,행정구역명(가사리)을 이용하여 가사길로 명명
205,경상남도,거제시,가배1길,법정리명칭(가배)을 이용하여 부여
206,경상남도,거창군,가곡길,옛날 기와집이 많아서 좋은 곳이라는 자연마을 이름 반영
207,경상남도,김해시,가동로,법정지명인 가동을 도로명으로 반영
208,경상남도,남해군,강진로,남해본섬과 창선도 사이에 자리한 강진만과 접한 해안도로임을 반영
209,경상남도,밀양시,가곡10길,행정구역명(읍면동:가곡동) 및 중앙로에서 분기된 순서 반영
210,경상남도,사천시,가곡고갯길,정동면 가곡(柯谷)마을로 넘어가는 길임을 나타냄
211,경상남도,산청군,가마길,가마마을을 명칭으로 사용
212,경상남도,양산시,가배길,지역의 옛 지명인 가배지명을  인용하여 도로명을 명명
213,경상남도,의령군,가례로,행정구역명(가례면)을 이용하여 가례로로 명명
214,경상남도,진주시,가산길,행정구역명(이반성면 가산리)를 이용하여 가산길로 명명
215,경상남도,창녕군,가마골1길,도자기를 만들던 도자기 가마가 있었다해서 붙여진 자연마을이름을 반영
216,경상남도,창원시 마산합포구,3·15대로,마산의 상징인 3·15의거 역사성을 반영하여 부여
217,경상남도,창원시 마산회원구,3·15대로,마산의 상징인 3·15의거 역사성을 반영하여 부여
218,경상남도,창원시 성산구,가양로,가음동에서 옛 양지마을을 연결하는 도로
219,경상남도,창원시 의창구,가술길,가술리지명을도로명으로제정
220,경상남도,창원시 진해구,가주로,가주동의 법정동 명칭 활용
221,경상남도,통영시,가오치길,일명 가오태라 일컬으며 인접한 오륜마을의 안쪽에 위치한 마을에서 유래됨
222,경상남도,하동군,가덕길,덕은 더한다 하여 붙여진 자연마을이름 반영
223,경상남도,함안군,가동1길,아름다운 마을이라는 뜻의 자연마을 명칭 반영
224,경상남도,함양군,가르내1길,가르내길에서 분기되는 도로
225,경상남도,합천군,가산1길,행정구역명(가산)을 이용하여 가산1길로 명명
226,제주특별자치도,서귀포시,1100로,한라산을 남북으로 연결하면 1100고지를 지나는 상징적 도로의미
227,제주특별자치도,제주시,1100로,한라산을 남북으로 연결하면 1100고지를 지나는 상징적 도로의미
